type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,0C:8B:95:A5:7A:F5,-36,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,27120,0,34,0,0,0.202942,128,[34 32 2 0 0 0 0 0 0 0 0 0 -19 -12 -19 -13 -19 -13 -19 -15 -17 -15 -17 -16 -17 -17 -16 -16 -15 -17 -15 -16 -16 -17 -16 -18 -15 -17 -14 -17 -13 -17 -14 -17 -13 -17 -12 -17 -12 -17 -12 -17 -12 -16 -12 -16 -11 -15 -13 -15 -13 -15 -14 -15 0 0 -13 -15 -13 -14 -14 -14 -13 -13 -14 -13 -14 -13 -15 -13 -14 -13 -15 -12 -15 -12 -17 -12 -16 -11 -16 -11 -17 -12 -16 -12 -18 -12 -18 -11 -18 -12 -19 -11 -19 -11 -18 -11 -19 -11 -19 -11 -21 -10 -20 -10 -20 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,0C:8B:95:A5:7A:F5,-36,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,43294,0,131,0,0,0.218684,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -3 21 -4 22 -4 21 -5 22 -6 21 -7 21 -7 21 -8 20 -8 20 -9 19 -9 21 -9 20 -9 20 -9 19 -10 18 -9 19 -10 18 -9 17 -10 18 -10 17 -9 17 -9 17 -8 16 -8 17 -8 18 -8 18 0 0 -7 17 -6 17 -6 18 -5 17 -5 17 -5 18 -5 18 -4 17 -3 18 -4 18 -3 19 -3 18 -2 18 -2 20 -2 19 -2 21 -1 20 -1 21 -1 20 -1 20 -1 21 0 21 0 21 1 22 0 21 0 22 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,0C:8B:95:A5:7A:F5,-40,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,4047917,0,30,0,0,4.22341,128,[30 -32 1 0 0 0 0 0 0 0 0 0 1 -22 3 -23 3 -22 4 -24 4 -21 6 -22 6 -21 7 -20 7 -20 7 -19 8 -19 7 -20 7 -18 7 -19 7 -19 6 -18 6 -18 5 -16 5 -18 5 -18 5 -17 4 -18 4 -17 3 -18 3 -19 3 -19 0 0 2 -18 1 -17 1 -18 0 -17 0 -18 0 -18 -1 -18 -1 -17 -2 -18 -2 -17 -4 -18 -4 -17 -4 -17 -5 -18 -5 -17 -6 -19 -6 -19 -6 -20 -5 -19 -6 -20 -6 -20 -6 -20 -5 -20 -5 -21 -4 -21 -3 -21 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,F0:5C:19:76:7E:21,-80,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,4089328,0,187,0,0,4.26503,128,[-69 -80 11 0 -37 -18 -29 -18 -34 -15 -24 -8 -21 -7 -19 -10 -16 -5 -8 -10 -6 -7 -4 5 -3 9 4 4 1 14 0 12 -2 21 2 18 4 16 -2 12 -4 9 -2 9 2 3 2 0 5 -5 10 0 11 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -3 -3 -4 -5 -6 -8 -11 -7 -18 -5 -21 2 -25 -2 -23 7 -24 6 -18 5 -20 2 -15 3 -12 -6 -14 -8 -11 -12 -10 -25 -13 -20 -13 -26 -12 -34 -12 -35 -11 -39 -13 -47 -16 -51 -17 -46 -13 -46 -20 ]
CSI_DATA,STA,F0:5C:19:76:8F:C1,-73,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,4154534,0,187,0,0,4.32954,128,[-69 -80 11 0 1 11 2 1 8 -1 4 1 6 2 7 0 10 4 5 -3 5 -4 9 -5 15 -13 9 -6 12 -12 7 -16 17 -16 9 -17 9 -22 9 -19 15 -16 9 -20 12 -17 10 -16 13 -13 12 -7 9 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 7 3 8 2 25 12 3 8 14 3 17 16 10 8 27 5 23 0 19 -9 18 -6 36 -1 21 -2 30 1 18 -7 24 -2 26 -9 30 -3 22 1 30 -1 22 -2 19 0 15 -3 15 5 14 6 11 ]
CSI_DATA,STA,2A:56:5A:49:06:54,-77,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,4165466,0,417,0,0,4.34096,128,[-95 17 26 0 -8 24 -10 33 -5 35 -4 37 0 35 3 42 6 39 7 33 11 24 9 25 6 18 2 13 2 8 0 3 -1 2 -6 -6 -9 0 -12 -4 -13 -5 -12 -8 -16 -5 -16 -6 -16 -4 -17 -6 -15 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -18 -9 -16 -11 -11 -12 -10 -17 -12 -15 -7 -13 -4 -13 -1 -13 4 -10 9 -11 13 -8 20 -4 22 -5 25 -4 26 -4 31 -2 30 -2 29 -3 29 -4 23 -3 23 -2 17 -2 11 0 7 1 5 11 0 11 ]
CSI_DATA,STA,70:3A:0E:09:55:61,-71,10,0,0,0,0,0,0,0,0,0,-96,0,1,0,4205969,0,187,0,0,4.38157,128,[-69 -80 11 0 -6 30 -7 29 -7 28 -6 24 -4 22 -5 14 -1 7 -1 0 -1 -9 2 -18 2 -26 3 -32 1 -38 3 -44 1 -47 2 -48 2 -47 0 -45 -1 -42 0 -36 4 -27 5 -24 -5 -15 -8 -9 -14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 -11 -3 -10 -4 -12 -6 -11 -7 -11 -9 -9 -12 -9 -12 -10 -13 -9 -14 -10 -13 -11 -13 -10 -11 -10 -9 -10 -7 -9 -4 -10 0 -8 2 -7 5 -3 4 -3 8 2 5 6 5 12 4 15 4 21 0 23 ]
CSI_DATA,STA,84:D4:7E:9D:FF:21,-83,10,0,0,0,0,0,0,0,0,0,-96,0,1,0,4211527,0,187,0,0,4.38776,128,[-69 -80 11 0 0 -23 1 -24 0 -13 7 -7 1 0 5 3 3 11 7 12 8 12 12 18 7 14 15 17 13 20 12 19 8 19 10 16 7 16 3 16 1 17 -3 12 -3 15 -9 13 -8 8 -15 12 -10 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 15 -6 22 -13 23 -15 29 -16 25 -23 30 -24 31 -26 25 -24 26 -22 19 -17 22 -14 16 -8 12 -2 8 1 4 7 -7 8 -14 12 -11 16 -20 16 -28 13 -28 16 -29 11 -35 6 -39 1 -32 3 -29 ]
CSI_DATA,STA,84:D4:7E:9E:09:A1,-78,10,0,0,0,0,0,0,0,0,0,-96,0,1,0,4250541,0,187,0,0,4.42556,128,[-69 -80 11 0 -34 -7 -31 -5 -31 -6 -32 -4 -29 -6 -29 -5 -22 -2 -19 -1 -12 -1 -7 -1 -4 -4 1 -2 5 0 13 -1 17 -4 19 -1 24 -1 26 -5 23 -4 28 -2 18 -3 22 -2 23 -4 23 -5 23 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -15 10 -12 7 -12 7 -7 4 -6 8 -2 8 -1 11 1 9 6 11 7 12 10 11 14 14 18 13 21 14 22 14 20 14 21 15 20 15 17 16 15 12 5 13 0 11 -6 7 -11 6 -14 1 -25 -5 ]
CSI_DATA,STA,3A:9D:92:D4:2B:4C,-77,11,0,0,0,0,0,0,0,0,0,-96,0,8,0,4957428,0,316,0,0,5.13329,128,[60 -63 19 0 4 -23 1 -21 0 -23 2 -22 -1 -20 -4 -24 -2 -19 -6 -18 -7 -21 -7 -19 -9 -22 -7 -21 -6 -22 -9 -21 -7 -20 -5 -22 -7 -21 -3 -21 -1 -20 -3 -16 -1 -16 4 -14 -2 -17 9 -3 -1 -13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -9 0 -14 -3 -10 -5 -13 1 -17 0 -17 1 -16 3 -19 3 -20 7 -23 6 -21 9 -22 11 -25 12 -19 11 -21 9 -23 11 -23 9 -24 9 -22 7 -22 11 -24 11 -23 9 -23 8 -23 6 -22 8 -25 ]
