type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,0C:8B:95:A5:7A:F5,-34,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,20397,0,34,0,0,0.200852,128,[34 32 2 0 0 0 0 0 0 0 0 0 -12 20 -13 20 -13 20 -14 20 -14 19 -15 18 -14 18 -15 17 -15 17 -16 16 -15 17 -16 16 -15 16 -15 15 -16 15 -15 16 -15 15 -15 14 -15 14 -14 14 -14 14 -14 15 -14 14 -14 15 -14 16 -14 16 0 0 -13 15 -13 17 -12 17 -12 16 -12 16 -12 17 -12 17 -12 17 -11 17 -12 17 -11 18 -11 17 -10 17 -11 18 -11 18 -11 18 -10 19 -11 19 -10 19 -10 19 -10 19 -9 19 -10 19 -9 20 -9 19 -9 19 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,0C:8B:95:A5:7A:F5,-33,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,36790,0,131,0,0,0.216814,128,[-125 48 8 0 0 0 0 0 0 0 0 0 12 -18 13 -18 13 -17 14 -18 14 -16 15 -16 15 -15 15 -14 15 -14 15 -14 15 -15 15 -14 15 -14 14 -13 15 -13 15 -13 15 -13 14 -12 15 -12 15 -12 14 -12 14 -12 13 -11 14 -13 14 -13 14 -14 0 0 13 -13 13 -14 13 -14 12 -13 13 -14 13 -15 12 -15 12 -14 12 -15 12 -14 12 -16 11 -15 11 -15 12 -16 11 -15 12 -16 11 -16 12 -17 12 -16 11 -16 11 -16 11 -16 11 -16 10 -18 10 -17 10 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,0C:8B:95:A5:7A:F5,-36,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,4040279,0,30,0,0,4.2204,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -15 17 -15 17 -16 17 -17 16 -17 15 -17 13 -17 13 -18 12 -17 12 -17 12 -17 12 -17 12 -17 12 -16 11 -16 11 -16 13 -15 11 -15 12 -14 12 -14 13 -14 12 -14 13 -14 13 -14 14 -13 15 -15 15 0 0 -13 15 -13 16 -12 16 -12 16 -12 15 -12 17 -12 16 -11 16 -11 17 -11 17 -11 18 -10 17 -11 18 -10 19 -10 18 -10 19 -10 19 -11 19 -11 19 -11 18 -11 18 -12 18 -12 18 -13 18 -13 17 -13 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,F0:5C:19:76:8F:C1,-79,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,4054760,0,187,0,0,4.2353,128,[-69 -80 11 0 -8 -6 -11 -4 -6 0 -13 -1 -15 5 -13 3 -16 2 -7 5 -14 5 -5 2 -2 -1 0 -1 4 -5 5 -2 12 -3 6 -11 9 -5 11 -3 14 1 10 0 11 2 7 0 5 10 2 10 -1 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 -5 14 -6 12 -8 17 -10 19 -15 23 -17 26 -18 26 -20 30 -19 30 -23 33 -18 33 -18 32 -18 35 -19 34 -16 35 -12 35 -16 31 -14 34 -13 29 -18 29 -11 29 -14 18 -13 19 -16 11 -8 7 -12 ]
CSI_DATA,STA,AA:6B:AD:82:46:CC,-72,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,4142375,0,417,0,0,4.32271,128,[-95 17 26 0 -20 22 -21 27 -21 27 -23 33 -18 34 -17 31 -17 30 -13 30 -8 20 -4 15 -9 7 -6 0 -2 -7 1 -11 -2 -21 -2 -22 0 -27 2 -29 2 -29 5 -25 6 -25 6 -20 7 -18 8 -12 10 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 -2 -2 -1 -1 -1 -2 -1 -4 0 -1 0 -1 2 -1 1 2 1 5 3 8 -1 14 -4 12 0 19 -4 23 -6 27 -4 31 -4 25 -11 30 -8 21 -8 20 -5 20 -4 8 -3 6 1 0 8 -4 5 ]
CSI_DATA,STA,B4:5D:50:89:F9:A1,-46,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,4153416,0,187,0,0,4.33305,128,[-69 -80 11 0 -10 11 -8 12 -8 14 -7 14 -6 16 -6 18 -4 20 -5 21 -4 22 -4 24 -2 24 -3 26 -3 27 -3 27 -4 26 -4 26 -5 25 -6 23 -7 21 -7 19 -7 16 -8 14 -9 12 -8 9 -9 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 8 -8 8 -10 8 -10 7 -12 7 -14 7 -15 7 -17 6 -19 5 -20 5 -23 4 -23 4 -23 4 -24 3 -24 4 -24 4 -24 4 -23 5 -23 5 -21 6 -20 7 -18 7 -18 9 -15 8 -14 9 -13 9 ]
CSI_DATA,STA,70:3A:0E:09:55:61,-70,10,0,0,0,0,0,0,0,0,0,-96,0,1,0,4205179,0,187,0,0,4.3854,128,[-69 -80 11 0 5 12 2 14 -1 12 -4 11 -9 10 -9 10 -13 10 -14 10 -15 13 -17 17 -13 19 -13 22 -12 28 -8 31 -5 34 -3 32 -2 35 0 32 4 28 6 26 7 21 6 15 7 13 8 6 7 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -46 2 -43 -5 -34 -11 -27 -13 -17 -11 -8 -8 1 -3 8 -1 17 6 23 10 27 13 30 15 31 16 30 16 29 15 26 13 26 7 22 3 21 3 18 0 19 -1 15 2 15 1 13 4 14 6 12 8 ]
CSI_DATA,STA,84:D4:7E:9D:FF:21,-82,10,0,0,0,0,0,0,0,0,0,-96,0,1,0,4212450,0,187,0,0,4.39209,128,[-69 -80 11 0 -15 5 -15 7 2 11 -4 12 1 11 10 11 8 14 18 20 13 13 19 20 20 20 19 20 13 20 18 14 12 11 11 12 12 9 8 1 4 2 4 -2 5 -7 7 -3 3 -4 2 -6 6 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4 -9 -6 -9 -3 -12 -1 -19 1 -18 2 -22 3 -20 8 -19 2 -18 7 -15 8 -13 6 -8 4 -6 -2 -4 -6 1 -9 5 -16 5 -23 11 -28 9 -33 15 -33 13 -39 15 -38 18 -38 7 -42 4 -36 7 ]
CSI_DATA,STA,84:D4:7E:9E:09:A1,-71,10,0,0,0,0,0,0,0,0,0,-96,0,1,0,4249355,0,187,0,0,4.42901,128,[-69 -80 11 0 -3 25 -2 25 -3 27 -3 26 -2 27 -3 29 -4 27 -3 27 -5 27 -6 25 -6 24 -3 25 -1 24 19 11 -11 18 -15 33 -9 21 2 16 0 23 -1 23 -1 24 -6 24 -8 25 -10 22 -15 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 13 -9 10 -10 9 -9 8 -7 8 -6 7 -6 9 -8 9 -8 11 -12 13 -13 12 -14 12 -15 12 -14 10 -13 11 -15 11 -12 10 -13 10 -14 11 -12 12 -11 12 -7 12 -8 14 -4 16 -3 18 -3 20 ]
CSI_DATA,STA,A8:BD:27:85:37:01,-86,10,0,0,0,0,0,0,0,0,0,-96,0,11,0,5264379,0,171,0,0,5.44455,128,[-85 -80 10 0 -5 -11 -18 -9 -9 -22 -8 -18 -11 -26 -1 -23 -7 -26 -1 -21 -6 -16 -4 -19 4 -9 3 -7 3 0 4 -1 3 1 13 4 13 5 11 3 10 4 15 2 17 -2 13 2 12 -1 6 1 11 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 2 19 3 23 6 14 4 20 7 19 5 20 1 20 2 10 1 11 -1 8 -7 5 -6 1 -3 -15 0 -15 0 -20 0 -21 3 -19 3 -22 15 -29 19 -25 16 -25 15 -20 11 -14 15 -22 15 -15 10 ]
