type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,0C:8B:95:A5:7A:F5,-36,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,18886,0,34,0,0,0.194969,128,[34 32 2 0 0 0 0 0 0 0 0 0 -3 -23 -3 -23 -3 -24 -2 -24 -2 -23 0 -23 -1 -23 1 -22 0 -22 1 -21 1 -22 2 -22 1 -22 1 -21 2 -20 1 -22 1 -20 2 -20 1 -20 1 -20 1 -20 0 -20 1 -19 1 -21 0 -21 0 -21 0 0 -1 -20 -1 -20 -1 -21 -1 -20 -2 -21 -2 -21 -2 -21 -2 -21 -3 -20 -1 -21 -2 -22 -2 -21 -2 -21 -3 -21 -3 -21 -3 -21 -3 -22 -3 -22 -4 -22 -4 -22 -4 -21 -4 -21 -4 -22 -4 -22 -4 -21 -4 -21 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,0C:8B:95:A5:7A:F5,-36,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,32790,0,131,0,0,0.208453,128,[-125 48 8 0 0 0 0 0 0 0 0 0 20 10 19 10 20 11 20 12 18 12 18 13 17 13 17 13 16 13 16 13 17 13 16 13 16 13 15 13 15 13 15 13 15 13 14 12 15 12 15 12 15 12 15 12 14 11 16 12 16 11 16 11 0 0 16 11 16 11 17 11 16 10 16 11 17 10 17 10 17 10 17 10 17 11 18 10 17 10 18 9 18 10 18 10 18 10 19 9 19 10 19 10 19 9 19 9 18 9 19 9 20 9 18 9 19 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,0C:8B:95:A5:7A:F5,-25,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,4037156,0,30,0,0,4.21293,128,[30 -32 1 0 0 0 0 0 0 0 0 0 20 4 20 5 20 6 21 7 19 7 20 8 19 9 18 9 18 9 17 9 19 9 18 9 18 9 18 8 17 8 19 8 18 8 17 7 18 7 18 7 18 7 19 6 18 6 20 5 20 5 21 6 0 0 20 4 20 4 21 4 20 3 20 3 20 3 21 3 20 3 20 2 20 1 21 0 20 0 21 0 22 -1 21 -2 22 -2 22 -2 23 -1 22 0 22 -1 22 0 22 1 22 0 23 0 22 1 22 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,2A:56:5A:49:06:54,-80,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,4069626,0,417,0,0,4.24605,128,[-95 17 26 0 -11 -5 -18 -10 -25 -7 -26 -7 -34 -6 -38 -3 -41 -3 -40 -6 -42 -4 -40 -1 -38 0 -31 0 -23 -1 -14 -5 -8 -6 -1 -6 8 -8 16 -2 21 -1 22 -1 32 2 28 5 28 7 23 10 20 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -16 0 -17 5 -21 7 -21 7 -18 7 -14 5 -12 3 -10 0 -8 1 -5 -6 -4 -8 1 -8 4 -6 10 -9 15 -8 14 -4 17 -3 17 0 17 2 21 6 18 10 15 5 16 10 12 5 7 0 5 ]
CSI_DATA,STA,AA:6B:AD:82:46:CC,-77,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,4071066,0,417,0,0,4.25236,128,[-95 17 26 0 7 15 8 19 9 23 8 22 8 28 13 29 9 33 13 33 17 32 16 31 15 30 14 30 13 24 14 22 8 17 4 16 0 12 -3 10 -8 10 -12 12 -16 13 -18 15 -19 14 -21 18 -22 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 -5 -3 -4 1 -1 1 2 -3 3 1 5 0 8 3 8 6 11 6 11 8 15 8 14 12 19 11 18 11 16 11 14 9 15 10 13 8 16 9 16 8 14 6 18 10 17 9 14 11 16 10 14 ]
CSI_DATA,STA,B4:5D:50:89:F9:A1,-46,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,4084190,0,187,0,0,4.25949,128,[-69 -80 11 0 4 7 5 7 5 7 6 7 8 7 10 8 12 9 15 10 17 10 19 11 22 11 24 11 26 11 28 12 28 12 29 12 28 12 26 12 24 12 22 12 19 11 16 11 12 11 9 10 5 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 3 5 4 5 5 5 6 5 8 5 10 5 13 5 15 5 18 3 20 3 23 3 24 3 25 3 26 4 26 5 27 5 26 6 26 7 24 8 23 8 21 8 19 8 17 7 15 7 13 5 11 ]
CSI_DATA,STA,F0:5C:19:76:A6:41,-77,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,4084504,0,187,0,0,4.26477,128,[-69 -80 11 0 18 15 13 14 10 16 2 17 4 25 -4 25 -3 29 -3 35 1 38 1 40 4 43 7 40 10 40 12 37 16 31 15 27 9 26 8 20 10 15 4 14 2 7 -1 5 -4 -2 -9 -3 -13 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 -6 -1 -8 2 -8 3 -10 8 -11 8 -9 11 -11 15 -10 15 -12 14 -11 14 -13 15 -7 13 -9 12 -9 11 -7 14 1 14 2 12 6 13 7 14 14 16 17 16 18 22 19 24 18 23 16 25 19 ]
CSI_DATA,STA,F0:5C:19:76:8F:C1,-78,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,4089089,0,187,0,0,4.27023,128,[-69 -80 11 0 6 -8 7 -14 2 -17 2 -19 -1 -23 0 -22 0 -21 3 -20 7 -17 12 -12 15 -9 19 -6 26 -3 27 2 36 2 33 1 33 1 31 4 30 0 26 0 23 -5 16 -5 13 -6 12 -10 9 -11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 4 9 2 12 0 14 -2 18 -1 17 -1 16 -1 18 2 19 1 15 5 15 7 10 6 6 9 4 14 3 21 -4 23 -4 29 -4 32 -2 33 4 34 5 33 4 34 8 31 6 29 7 20 6 20 ]
CSI_DATA,STA,F0:5C:19:76:7E:21,-83,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,4125677,0,187,0,0,4.30111,128,[-69 -80 11 0 -10 -8 -10 -11 -10 -12 -15 -12 -13 -23 -15 -27 -14 -24 -19 -26 -22 -27 -14 -26 -14 -22 -17 -21 -17 -22 -21 -21 -20 -17 -11 -13 -16 -10 -14 -9 -15 0 -16 -4 -12 1 -5 10 -11 12 -8 12 -10 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 19 -12 14 -12 18 -21 8 -15 10 -14 3 -14 11 -8 2 -9 17 0 10 -7 9 6 10 1 18 -2 16 13 14 9 9 21 22 11 14 16 15 19 20 14 17 4 18 10 12 1 18 2 16 -1 11 ]
CSI_DATA,STA,84:D4:7E:9E:09:A1,-72,10,0,0,0,0,0,0,0,0,0,-96,0,1,0,4180468,0,187,0,0,4.35623,128,[-69 -80 11 0 -18 22 -16 22 -19 23 -18 22 -20 23 -20 20 -20 19 -19 20 -14 17 -14 14 -14 18 -1 14 -5 16 -1 20 4 21 -10 24 -6 26 5 20 2 23 -6 23 -9 30 -6 28 -10 19 -13 12 -21 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 0 -10 -1 -10 -2 -11 -1 -12 2 -12 1 -13 0 -13 0 -15 -1 -17 -3 -14 -2 -14 -3 -13 -2 -15 -1 -16 0 -19 2 -18 2 -21 2 -19 3 -19 1 -18 1 -16 2 -12 4 -13 7 -13 11 -12 14 ]
CSI_DATA,STA,70:3A:0E:09:55:61,-70,10,0,0,0,0,0,0,0,0,0,-96,0,1,0,4239113,0,187,0,0,4.41441,128,[-69 -80 11 0 14 4 19 3 27 2 31 1 34 1 36 2 36 2 34 0 32 -3 29 -5 23 -7 18 -7 14 -11 9 -13 5 -16 2 -19 -5 -21 -5 -25 -9 -29 -9 -31 -5 -27 -5 -32 1 -30 5 -26 5 -21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -22 7 -23 0 -19 -6 -15 -11 -10 -13 -6 -12 -2 -10 1 -5 1 -1 0 4 -4 8 -8 10 -11 12 -15 12 -17 11 -20 10 -21 10 -19 9 -17 9 -17 10 -16 12 -14 11 -13 12 -8 13 -6 12 -3 10 ]
CSI_DATA,STA,3A:9D:92:D4:2B:4C,-83,11,0,0,0,0,0,0,0,0,0,-96,0,8,0,4994681,0,316,0,0,5.17078,128,[60 -63 19 0 18 -9 17 -11 19 -5 13 -3 10 -9 11 -8 10 -9 5 1 4 -4 3 -3 3 -7 -3 -6 -3 -9 -4 -3 -9 -2 -3 -10 -7 -7 -4 -7 -4 -10 -3 -13 -7 -13 -5 -8 -4 -9 3 -4 -1 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 -4 15 -7 21 -6 20 -12 17 -11 21 -11 21 -8 24 -13 26 -11 26 -15 26 -14 26 -9 33 -14 31 -10 30 -14 28 -14 33 -8 32 -11 32 -13 29 -14 26 -11 28 -12 28 -14 30 -10 27 -14 30 -10 ]
CSI_DATA,STA,F0:5C:19:76:7C:81,-66,10,0,0,0,0,0,0,0,0,0,-96,0,11,0,5274074,0,187,0,0,5.44979,128,[-69 -80 11 0 10 1 7 -1 4 -3 -1 -4 -4 -7 -8 -9 -10 -11 -12 -12 -13 -15 -12 -16 -11 -15 -11 -14 -9 -12 -6 -10 -5 -5 -5 -1 -4 3 -4 8 -6 12 -9 13 -12 15 -14 16 -16 15 -18 13 -19 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 1 8 1 12 -1 15 -1 19 -3 22 -5 25 -6 27 -8 30 -10 31 -11 31 -12 32 -12 31 -12 30 -11 30 -10 27 -8 25 -5 23 -3 20 0 17 4 14 6 12 10 9 11 7 13 4 13 3 ]
CSI_DATA,STA,B4:5D:50:C2:59:21,-78,10,0,0,0,0,0,0,0,0,0,-96,0,11,0,5317182,0,187,0,0,5.49247,128,[-69 -80 11 0 16 -22 18 -21 16 -28 12 -24 14 -21 16 -20 14 -21 13 -18 14 -16 13 -13 5 -12 18 -18 18 -5 29 -14 22 -12 25 -9 22 -8 23 -7 22 -3 15 1 12 2 5 8 -2 13 -9 18 -16 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 8 -1 9 -2 7 -3 8 -7 6 -6 3 -10 -1 -13 -1 -12 -10 -15 -12 -14 -18 -15 -19 -18 -30 -16 -30 -12 -29 -12 -32 -10 -30 -7 -26 -3 -19 -2 -17 -5 -9 -4 0 -3 8 -13 8 -8 10 -10 ]
CSI_DATA,STA,F0:5C:19:76:7C:81,-66,10,0,0,0,0,0,0,0,0,0,-96,0,11,0,5376457,0,187,0,0,5.55174,128,[-69 -80 11 0 -13 6 -9 5 -3 4 1 4 4 3 10 3 15 4 18 6 19 7 20 7 20 7 18 8 15 7 12 5 8 3 6 0 3 -4 1 -9 1 -13 1 -17 3 -20 5 -21 7 -21 9 -21 12 -19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 -5 -12 -9 -12 -11 -6 -21 -13 -16 -17 -22 -14 -20 -14 -34 -13 -28 -3 -37 -11 -37 -8 -36 -8 -39 -6 -36 -4 -37 -7 -33 -7 -31 -7 -26 -8 -22 -10 -17 -12 -12 -12 -7 -14 -3 -16 1 -16 4 -16 5 ]
