,location,event,timestamp
0,Road 1,person,2022-01-01 01:58:24
1,Road 2,car,2022-01-01 11:15:56
2,Road 2,cow,2022-01-01 00:53:42
3,Road 1,car,2022-01-01 06:46:05
4,Road 2,car,2022-01-01 10:49:26
5,Road 3,person,2022-01-01 21:15:48
6,Road 1,car,2022-01-01 17:23:48
7,Road 2,car,2022-01-01 12:53:26
8,Road 3,person,2022-01-01 18:25:02
9,Road 1,car,2022-01-01 15:37:19
10,Road 3,cow,2022-01-01 04:38:31
11,Road 3,car,2022-01-01 20:07:44
12,Road 1,person,2022-01-01 14:38:09
13,Road 3,person,2022-01-01 11:42:19
14,Road 3,person,2022-01-01 21:26:47
15,Road 3,person,2022-01-01 17:09:26
16,Road 3,person,2022-01-01 02:20:31
17,Road 2,person,2022-01-01 04:11:47
18,Road 2,person,2022-01-01 11:34:14
19,Road 2,person,2022-01-01 19:48:35
20,Road 3,dog,2022-01-01 04:02:00
21,Road 3,car,2022-01-01 08:24:51
22,Road 3,person,2022-01-01 15:46:51
23,Road 1,car,2022-01-01 04:41:28
24,Road 2,person,2022-01-01 23:44:18
25,Road 3,car,2022-01-01 09:23:07
26,Road 1,car,2022-01-01 23:17:45
27,Road 3,car,2022-01-01 02:02:25
28,Road 1,car,2022-01-01 12:14:16
29,Road 3,car,2022-01-01 15:21:09
30,Road 2,car,2022-01-01 15:12:05
31,Road 1,car,2022-01-01 10:31:20
32,Road 3,person,2022-01-01 15:22:04
33,Road 2,car,2022-01-01 03:13:53
34,Road 2,person,2022-01-01 04:32:26
35,Road 3,car,2022-01-01 02:48:37
36,Road 1,dog,2022-01-01 10:10:04
37,Road 3,car,2022-01-01 19:27:57
38,Road 2,person,2022-01-01 08:26:27
39,Road 3,car,2022-01-01 23:34:15
40,Road 1,person,2022-01-01 09:34:39
41,Road 3,car,2022-01-01 16:28:22
42,Road 3,car,2022-01-01 16:39:43
43,Road 2,cow,2022-01-01 14:31:02
44,Road 3,car,2022-01-01 20:59:07
45,Road 2,car,2022-01-01 22:23:24
46,Road 3,dog,2022-01-01 10:31:49
47,Road 2,cow,2022-01-01 01:57:45
48,Road 1,car,2022-01-01 13:31:50
49,Road 3,car,2022-01-01 00:02:28
50,Road 2,car,2022-01-01 07:51:06
51,Road 2,car,2022-01-01 23:06:25
52,Road 3,person,2022-01-01 01:11:40
53,Road 3,car,2022-01-01 00:51:01
54,Road 3,cow,2022-01-01 17:10:36
55,Road 2,car,2022-01-01 20:29:26
56,Road 3,person,2022-01-01 23:50:09
57,Road 1,car,2022-01-01 19:45:33
58,Road 3,car,2022-01-01 10:01:01
59,Road 3,car,2022-01-01 10:42:47
60,Road 3,car,2022-01-01 20:59:25
61,Road 2,person,2022-01-01 13:51:31
62,Road 2,person,2022-01-01 11:36:20
63,Road 1,person,2022-01-01 10:36:58
64,Road 1,person,2022-01-01 16:32:13
65,Road 2,person,2022-01-01 10:13:14
66,Road 2,car,2022-01-01 14:58:35
67,Road 1,car,2022-01-01 12:02:38
68,Road 3,car,2022-01-01 22:10:09
69,Road 2,car,2022-01-01 12:00:14
70,Road 2,car,2022-01-01 17:05:54
71,Road 3,person,2022-01-01 00:28:48
72,Road 1,car,2022-01-01 19:49:11
73,Road 3,person,2022-01-01 17:52:11
74,Road 3,car,2022-01-01 14:56:32
75,Road 2,person,2022-01-01 19:38:20
76,Road 1,car,2022-01-01 06:14:18
77,Road 2,car,2022-01-01 02:27:03
78,Road 3,person,2022-01-01 14:09:34
79,Road 3,person,2022-01-01 14:36:33
80,Road 2,car,2022-01-01 20:29:16
81,Road 3,car,2022-01-01 14:42:54
82,Road 1,car,2022-01-01 02:25:55
83,Road 1,car,2022-01-01 06:53:36
84,Road 2,person,2022-01-01 18:41:52
85,Road 2,car,2022-01-01 22:08:29
86,Road 2,cow,2022-01-01 03:02:19
87,Road 2,cow,2022-01-01 11:03:00
88,Road 2,person,2022-01-01 18:38:18
89,Road 3,person,2022-01-01 02:26:05
90,Road 3,person,2022-01-01 00:18:40
91,Road 2,cow,2022-01-01 10:19:55
92,Road 1,cow,2022-01-01 15:56:33
93,Road 2,person,2022-01-01 20:05:14
94,Road 3,car,2022-01-01 08:36:59
95,Road 3,dog,2022-01-01 17:31:01
96,Road 2,cow,2022-01-01 22:51:43
97,Road 1,cow,2022-01-01 17:49:15
98,Road 3,car,2022-01-01 08:16:00
99,Road 3,car,2022-01-01 02:15:13
100,Road 3,cow,2022-01-02 06:07:35
101,Road 1,car,2022-01-02 02:00:49
102,Road 3,cow,2022-01-02 16:29:03
103,Road 3,cow,2022-01-02 08:15:06
104,Road 1,person,2022-01-02 00:56:35
105,Road 1,person,2022-01-02 16:51:36
106,Road 1,car,2022-01-02 23:45:27
107,Road 3,car,2022-01-02 12:11:34
108,Road 3,car,2022-01-02 20:14:45
109,Road 3,dog,2022-01-02 07:39:09
110,Road 3,person,2022-01-02 14:56:53
111,Road 3,car,2022-01-02 01:22:38
112,Road 2,car,2022-01-02 05:18:29
113,Road 1,cow,2022-01-02 00:46:49
114,Road 3,cow,2022-01-02 10:50:30
115,Road 1,dog,2022-01-02 11:40:31
116,Road 3,cow,2022-01-02 04:20:18
117,Road 3,person,2022-01-02 11:33:24
118,Road 3,car,2022-01-02 01:13:09
119,Road 3,person,2022-01-02 20:51:11
120,Road 3,cow,2022-01-02 18:07:49
121,Road 1,person,2022-01-02 10:41:19
122,Road 3,car,2022-01-02 12:22:01
123,Road 2,car,2022-01-02 09:37:49
124,Road 1,car,2022-01-02 08:21:30
125,Road 1,cow,2022-01-02 12:11:18
126,Road 1,person,2022-01-02 06:03:31
127,Road 3,person,2022-01-02 05:44:07
128,Road 3,car,2022-01-02 23:06:46
129,Road 3,person,2022-01-02 10:33:14
130,Road 3,car,2022-01-02 10:41:19
131,Road 3,car,2022-01-02 21:09:14
132,Road 2,cow,2022-01-02 12:44:27
133,Road 2,person,2022-01-02 04:47:43
134,Road 1,person,2022-01-02 03:34:34
135,Road 2,car,2022-01-02 19:46:08
136,Road 2,car,2022-01-02 03:44:56
137,Road 2,car,2022-01-02 01:13:28
138,Road 3,cow,2022-01-02 05:59:50
139,Road 2,person,2022-01-02 09:58:29
140,Road 1,car,2022-01-02 14:13:56
141,Road 3,car,2022-01-02 22:11:50
142,Road 3,person,2022-01-02 10:41:17
143,Road 1,dog,2022-01-02 07:36:04
144,Road 2,car,2022-01-02 23:28:37
145,Road 2,person,2022-01-02 01:31:54
146,Road 1,person,2022-01-02 05:44:12
147,Road 2,cow,2022-01-02 01:48:34
148,Road 3,car,2022-01-02 14:37:22
149,Road 2,cow,2022-01-02 13:25:58
150,Road 3,car,2022-01-02 05:29:57
151,Road 3,dog,2022-01-02 02:29:32
152,Road 3,car,2022-01-02 06:33:13
153,Road 3,person,2022-01-02 00:23:42
154,Road 3,dog,2022-01-02 15:40:57
155,Road 3,cow,2022-01-02 07:42:30
156,Road 2,person,2022-01-02 21:58:39
157,Road 2,car,2022-01-02 03:02:22
158,Road 1,car,2022-01-02 21:54:21
159,Road 3,car,2022-01-02 20:10:13
160,Road 2,car,2022-01-02 17:30:18
161,Road 2,person,2022-01-02 07:25:19
162,Road 3,car,2022-01-02 03:26:56
163,Road 3,person,2022-01-02 13:51:44
164,Road 1,person,2022-01-02 04:04:32
165,Road 3,car,2022-01-02 14:53:58
166,Road 3,cow,2022-01-02 17:34:22
167,Road 2,person,2022-01-02 11:35:22
168,Road 1,car,2022-01-02 13:14:40
169,Road 1,car,2022-01-02 05:11:04
170,Road 2,car,2022-01-02 17:21:47
171,Road 3,car,2022-01-02 18:34:21
172,Road 3,cow,2022-01-02 03:27:46
173,Road 3,person,2022-01-02 05:09:37
174,Road 1,person,2022-01-02 18:50:14
175,Road 1,person,2022-01-02 03:21:49
176,Road 3,person,2022-01-02 21:07:17
177,Road 1,car,2022-01-02 07:05:09
178,Road 2,cow,2022-01-02 08:20:38
179,Road 2,car,2022-01-02 04:48:43
180,Road 2,cow,2022-01-02 16:11:50
181,Road 3,person,2022-01-02 05:49:46
182,Road 3,cow,2022-01-02 15:07:36
183,Road 2,car,2022-01-02 19:55:13
184,Road 3,dog,2022-01-02 22:21:27
185,Road 3,person,2022-01-02 01:35:46
186,Road 2,cow,2022-01-02 02:41:08
187,Road 3,car,2022-01-02 21:20:57
188,Road 1,car,2022-01-02 07:52:19
189,Road 1,car,2022-01-02 10:23:52
190,Road 3,person,2022-01-02 17:43:33
191,Road 3,dog,2022-01-02 15:17:46
192,Road 3,cow,2022-01-02 17:33:08
193,Road 3,cow,2022-01-02 11:39:16
194,Road 1,car,2022-01-02 11:11:42
195,Road 1,dog,2022-01-02 23:02:40
196,Road 1,car,2022-01-02 19:16:52
197,Road 3,person,2022-01-02 05:15:35
198,Road 1,cow,2022-01-02 05:03:17
199,Road 3,car,2022-01-02 08:44:29
200,Road 3,dog,2022-01-03 22:14:31
201,Road 3,person,2022-01-03 15:57:51
202,Road 3,car,2022-01-03 13:56:12
203,Road 2,person,2022-01-03 10:32:43
204,Road 3,car,2022-01-03 05:34:23
205,Road 2,cow,2022-01-03 09:11:47
206,Road 3,car,2022-01-03 15:12:56
207,Road 2,person,2022-01-03 18:03:29
208,Road 3,car,2022-01-03 00:39:25
209,Road 2,dog,2022-01-03 22:34:45
210,Road 3,person,2022-01-03 01:50:10
211,Road 3,car,2022-01-03 21:37:45
212,Road 3,dog,2022-01-03 05:46:36
213,Road 3,person,2022-01-03 15:23:15
214,Road 3,car,2022-01-03 16:56:16
215,Road 2,car,2022-01-03 16:54:03
216,Road 3,car,2022-01-03 10:29:22
217,Road 1,cow,2022-01-03 09:11:10
218,Road 2,dog,2022-01-03 13:08:46
219,Road 1,dog,2022-01-03 15:47:05
220,Road 3,person,2022-01-03 11:44:33
221,Road 2,dog,2022-01-03 15:01:26
222,Road 3,car,2022-01-03 17:09:07
223,Road 2,dog,2022-01-03 08:32:34
224,Road 3,cow,2022-01-03 04:01:39
225,Road 1,car,2022-01-03 20:08:50
226,Road 3,car,2022-01-03 10:36:47
227,Road 2,person,2022-01-03 14:06:01
228,Road 2,cow,2022-01-03 11:27:36
229,Road 1,person,2022-01-03 04:51:38
230,Road 1,cow,2022-01-03 08:23:48
231,Road 2,person,2022-01-03 21:41:54
232,Road 3,person,2022-01-03 01:38:03
233,Road 3,cow,2022-01-03 13:30:17
234,Road 3,car,2022-01-03 14:22:23
235,Road 3,car,2022-01-03 05:57:14
236,Road 3,car,2022-01-03 01:55:24
237,Road 1,cow,2022-01-03 00:52:17
238,Road 3,person,2022-01-03 16:38:18
239,Road 1,car,2022-01-03 04:13:27
240,Road 1,cow,2022-01-03 12:57:15
241,Road 2,person,2022-01-03 02:07:26
242,Road 1,person,2022-01-03 07:43:55
243,Road 3,cow,2022-01-03 05:42:00
244,Road 3,dog,2022-01-03 01:00:38
245,Road 3,person,2022-01-03 06:50:44
246,Road 3,cow,2022-01-03 11:26:33
247,Road 3,dog,2022-01-03 13:10:20
248,Road 1,car,2022-01-03 11:45:26
249,Road 2,dog,2022-01-03 04:09:59
250,Road 1,car,2022-01-03 20:02:40
251,Road 3,car,2022-01-03 20:21:39
252,Road 3,dog,2022-01-03 15:22:00
253,Road 2,person,2022-01-03 18:41:53
254,Road 3,car,2022-01-03 07:02:59
255,Road 2,car,2022-01-03 06:04:47
256,Road 1,car,2022-01-03 19:05:14
257,Road 3,cow,2022-01-03 02:34:59
258,Road 3,car,2022-01-03 17:28:23
259,Road 3,person,2022-01-03 02:04:42
260,Road 2,person,2022-01-03 20:39:38
261,Road 3,person,2022-01-03 19:03:10
262,Road 3,cow,2022-01-03 07:17:16
263,Road 2,person,2022-01-03 14:54:11
264,Road 3,dog,2022-01-03 19:25:49
265,Road 3,car,2022-01-03 03:30:24
266,Road 2,car,2022-01-03 09:09:38
267,Road 1,cow,2022-01-03 04:42:44
268,Road 3,cow,2022-01-03 10:15:44
269,Road 3,person,2022-01-03 13:08:11
270,Road 3,person,2022-01-03 05:57:21
271,Road 3,dog,2022-01-03 18:12:58
272,Road 1,cow,2022-01-03 17:46:51
273,Road 3,car,2022-01-03 02:52:13
274,Road 3,car,2022-01-03 04:40:58
275,Road 2,cow,2022-01-03 08:28:30
276,Road 1,car,2022-01-03 23:36:49
277,Road 2,dog,2022-01-03 22:46:35
278,Road 3,car,2022-01-03 22:46:01
279,Road 3,cow,2022-01-03 05:13:23
280,Road 2,person,2022-01-03 14:19:42
281,Road 3,car,2022-01-03 20:45:33
282,Road 1,dog,2022-01-03 18:04:39
283,Road 3,cow,2022-01-03 04:35:00
284,Road 3,car,2022-01-03 20:47:32
285,Road 2,car,2022-01-03 03:29:35
286,Road 3,person,2022-01-03 13:09:29
287,Road 2,person,2022-01-03 20:11:34
288,Road 1,car,2022-01-03 17:12:42
289,Road 3,car,2022-01-03 04:18:30
290,Road 3,cow,2022-01-03 18:47:18
